,approach,fold,log,precision
323,Theis_resource,2,sepsis,0.57252668312396
324,Theis_resource,0,sepsis,0.6512385441010878
325,Theis_resource,3,env_permit,0.8393370832953368
326,Theis_resource,4,env_permit,0.8125133343381258
327,Theis_resource,1,env_permit,0.8277331457225143
328,Theis_resource,0,env_permit,0.8279769638027911
329,Theis_resource,2,env_permit,0.8276278348596682
330,Theis_resource,3,bpi_challenge_2012_o,0.8298456875709439
331,Theis_resource,4,bpi_challenge_2012_o,0.8088850640689098
332,Theis_resource,1,bpi_challenge_2012_o,0.8239490361947922
333,Theis_resource,2,bpi_challenge_2012_o,0.8105014806470898
334,Theis_resource,0,bpi_challenge_2012_o,0.8284649997874616
335,Theis_resource,0,bpi_challenge_2012_complete,0.7557803287385481
336,Theis_resource,3,bpi_challenge_2012_complete,0.7629533538214128
337,Theis_resource,2,bpi_challenge_2012_complete,0.756507168142931
338,Theis_resource,4,bpi_challenge_2012_complete,0.7191385094703225
339,Theis_resource,1,bpi_challenge_2012_complete,0.7439690114005779
340,Theis_resource,1,bpi_challenge_2013_closed_problems,0.5068813431421878
341,Theis_resource,2,bpi_challenge_2013_closed_problems,0.5042236725868474
342,Theis_resource,4,bpi_challenge_2013_closed_problems,0.5267575530474407
343,Theis_resource,3,bpi_challenge_2013_closed_problems,0.566457583524147
344,Theis_resource,0,bpi_challenge_2013_closed_problems,0.4862464378014473
345,Theis_resource,4,bpi_challenge_2012,0.8127519898313122
346,Theis_resource,0,bpi_challenge_2012,0.8070642394452472
347,Theis_resource,3,bpi_challenge_2012,0.8091276392456356
348,Theis_resource,1,bpi_challenge_2012,0.8106157839934433
349,Theis_resource,2,bpi_challenge_2012,0.8165178316953067
350,Theis_resource,3,nasa,0.8474022897607367
351,Theis_resource,0,nasa,0.8512785712997919
352,Theis_resource,1,nasa,0.8530143589242704
353,Theis_resource,2,nasa,0.8492080758615291
354,Theis_resource,4,nasa,0.8478311509678754
355,Theis_resource,4,bpi_challenge_2012_w_complete,0.8437882043209236
356,Theis_resource,2,bpi_challenge_2012_w_complete,0.8562476739687555
357,Theis_resource,1,bpi_challenge_2012_w_complete,0.842554926901007
358,Theis_resource,3,bpi_challenge_2012_w_complete,0.8432930453074033
359,Theis_resource,0,bpi_challenge_2012_w_complete,0.8427798179734042
360,Theis_no_resource,3,helpdesk,0.7816909938606985
361,Theis_no_resource,2,helpdesk,0.7006735665719674
362,Theis_no_resource,0,helpdesk,0.7532294407461143
363,Theis_no_resource,1,helpdesk,0.6996697390985601
364,Theis_no_resource,4,helpdesk,0.6880802001906078
365,Theis_no_resource,4,bpi_challenge_2012_a,0.5537613254896315
366,Theis_no_resource,2,bpi_challenge_2012_a,0.5073908626230829
367,Theis_no_resource,1,bpi_challenge_2012_a,0.5527510468042985
368,Theis_no_resource,3,bpi_challenge_2012_a,0.543294079097078
369,Theis_no_resource,0,bpi_challenge_2012_a,0.5650336947633268
370,Theis_no_resource,0,bpi_challenge_2013_incidents,0.5824923778620984
371,Theis_no_resource,2,bpi_challenge_2013_incidents,0.5648792197257329
372,Theis_no_resource,4,bpi_challenge_2013_incidents,0.5560963006892342
373,Theis_no_resource,1,bpi_challenge_2013_incidents,0.5263655618725742
374,Theis_no_resource,3,bpi_challenge_2013_incidents,0.5371142605586147
