,approach,fold,log,mcc
256,Hinkka,0,bpi_challenge_2013_incidents,0.6524402630276835
257,Hinkka,2,bpi_challenge_2013_incidents,0.652292482206071
258,Hinkka,3,bpi_challenge_2013_incidents,0.6406161749195207
259,Hinkka,4,bpi_challenge_2013_incidents,0.6569500424275102
260,Hinkka,3,helpdesk,0.7703620720634187
261,Hinkka,2,helpdesk,0.786028128827133
262,Hinkka,1,helpdesk,0.7870928624333348
263,Hinkka,4,helpdesk,0.7965618916043293
264,Hinkka,0,helpdesk,0.7864549148260234
265,Hinkka,4,bpi_challenge_2012,0.8618124572706324
266,Hinkka,0,bpi_challenge_2012,0.8596660925408665
267,Hinkka,1,bpi_challenge_2012,0.8612480983102805
268,Hinkka,2,bpi_challenge_2012,0.8617704670902543
269,Hinkka,3,bpi_challenge_2012,0.8593722253396054
270,Hinkka,3,env_permit,0.8383611599357871
271,Hinkka,1,env_permit,0.8181500687225516
272,Hinkka,0,env_permit,0.8219620527226934
273,Hinkka,2,env_permit,0.8093576523000544
274,Hinkka,4,env_permit,0.8194019561791208
275,Hinkka,1,bpi_challenge_2012_w,0.8368931980037351
276,Hinkka,3,bpi_challenge_2012_w,0.8342899226227253
277,Hinkka,0,bpi_challenge_2012_w,0.8329842946609549
278,Hinkka,2,bpi_challenge_2012_w,0.8332784573270509
279,Hinkka,4,bpi_challenge_2012_w,0.8335304307252387
280,Hinkka,1,bpi_challenge_2012_w_complete,0.6356090726092618
281,Hinkka,4,bpi_challenge_2012_w_complete,0.6257183244842656
282,Hinkka,3,bpi_challenge_2012_w_complete,0.6253234201589144
283,Hinkka,0,bpi_challenge_2012_w_complete,0.6157195960871357
284,Hinkka,2,bpi_challenge_2012_w_complete,0.6257544563582376
285,Hinkka,1,sepsis,0.5647445225843407
286,Hinkka,4,sepsis,0.590430098528106
287,Hinkka,2,sepsis,0.5727212832991333
288,Hinkka,0,sepsis,0.58583249069558
289,Hinkka,3,sepsis,0.584383780219683
290,Hinkka,4,bpi_challenge_2013_closed_problems,0.4873518023081822
291,Hinkka,0,bpi_challenge_2013_closed_problems,0.5396498355765744
292,Hinkka,1,bpi_challenge_2013_closed_problems,0.41201380217417455
293,Hinkka,3,bpi_challenge_2013_closed_problems,0.5190857723210429
294,Hinkka,2,bpi_challenge_2013_closed_problems,0.44758012464777486
295,Hinkka,1,bpi_challenge_2012_o,0.8499346006835371
296,Hinkka,2,bpi_challenge_2012_o,0.8526551505423066
