accuracy,approach,fold,log
0.6119186046511628,Hinkka,2,bpi_challenge_2013_closed_problems
0.7495703796281831,Hinkka,1,bpi_challenge_2013_incidents
0.745739707434776,Hinkka,0,bpi_challenge_2013_incidents
0.7501159734034328,Hinkka,2,bpi_challenge_2013_incidents
0.7380934854619066,Hinkka,3,bpi_challenge_2013_incidents
0.7510232450382269,Hinkka,4,bpi_challenge_2013_incidents
0.6244384546271339,Hinkka,1,sepsis
0.6387434554973822,Hinkka,4,sepsis
0.6340602950609365,Hinkka,2,sepsis
0.6374166374166375,Hinkka,0,sepsis
0.640278237827095,Hinkka,3,sepsis
0.8086586291206475,Theis_resource,4,bpi_challenge_2012
0.8080231065468549,Theis_resource,0,bpi_challenge_2012
0.8056221257853488,Theis_resource,3,bpi_challenge_2012
0.8078151260504202,Theis_resource,1,bpi_challenge_2012
0.8179447052686489,Theis_resource,2,bpi_challenge_2012
0.7829238824003222,Theis_resource,3,helpdesk
0.7926977687626775,Theis_resource,2,helpdesk
0.7978723404255319,Theis_resource,0,helpdesk
0.8045833333333333,Theis_resource,1,helpdesk
0.8062630480167015,Theis_resource,4,helpdesk
0.8638273361794403,Theis_resource,2,bpi_challenge_2012_w
0.8586326767091541,Theis_resource,1,bpi_challenge_2012_w
0.8706148252481247,Theis_resource,4,bpi_challenge_2012_w
0.8776378547163984,Theis_resource,3,bpi_challenge_2012_w
0.8723124620880232,Theis_resource,0,bpi_challenge_2012_w
0.651793400286944,Theis_resource,4,bpi_challenge_2012_a
0.6634902574313754,Theis_resource,2,bpi_challenge_2012_a
0.6538740043446778,Theis_resource,1,bpi_challenge_2012_a
0.6523795447827372,Theis_resource,3,bpi_challenge_2012_a
0.6620019991432243,Theis_resource,0,bpi_challenge_2012_a
0.8642689715792558,Theis_resource,3,nasa
0.8654781199351702,Theis_resource,0,nasa
0.8619994237971766,Theis_resource,1,nasa
0.863895382817066,Theis_resource,2,nasa
0.8614396262228062,Theis_resource,4,nasa
0.8588957055214724,Theis_resource,3,env_permit
0.8498683055311677,Theis_resource,4,env_permit
0.8510998307952623,Theis_resource,1,env_permit
0.8535528596187175,Theis_resource,0,env_permit
0.8427152317880795,Theis_resource,2,env_permit
0.8378257365451778,Theis_resource,4,bpi_challenge_2012_w_complete
0.8490951276102088,Theis_resource,2,bpi_challenge_2012_w_complete
0.8344885883347422,Theis_resource,1,bpi_challenge_2012_w_complete
0.8357492469879518,Theis_resource,3,bpi_challenge_2012_w_complete
0.8349862258953168,Theis_resource,0,bpi_challenge_2012_w_complete
0.7650124631769771,Theis_resource,3,bpi_challenge_2012_o
0.7624818225884634,Theis_resource,4,bpi_challenge_2012_o
0.7731934731934732,Theis_resource,1,bpi_challenge_2012_o
0.7679730704496273,Theis_resource,2,bpi_challenge_2012_o
0.7756743965925225,Theis_resource,0,bpi_challenge_2012_o
0.7559329414326148,Theis_resource,0,bpi_challenge_2012_complete
0.7543548208143792,Theis_resource,3,bpi_challenge_2012_complete
0.7612816044948615,Theis_resource,2,bpi_challenge_2012_complete
0.7565095256959701,Theis_resource,4,bpi_challenge_2012_complete
0.759327755233957,Theis_resource,1,bpi_challenge_2012_complete
0.532051282051282,Theis_resource,1,bpi_challenge_2013_closed_problems
0.5268542199488491,Theis_resource,2,bpi_challenge_2013_closed_problems
0.5543478260869565,Theis_resource,4,bpi_challenge_2013_closed_problems
