,approach,f1-score,fold,log
387,Theis_no_resource,0.7731787796560639,3,bpi_challenge_2012
388,Theis_no_resource,0.801363783555106,1,bpi_challenge_2012
389,Theis_no_resource,0.7985781483972615,2,bpi_challenge_2012
390,Theis_no_resource,0.5467346644088422,0,bpi_challenge_2013_incidents
391,Theis_no_resource,0.5500195464323684,2,bpi_challenge_2013_incidents
392,Theis_no_resource,0.5417065660949935,4,bpi_challenge_2013_incidents
393,Theis_no_resource,0.5464576022881877,1,bpi_challenge_2013_incidents
394,Theis_no_resource,0.5512576430817956,3,bpi_challenge_2013_incidents
395,Theis_no_resource,0.7537717948512092,3,bpi_challenge_2012_o
396,Theis_no_resource,0.752292495396742,4,bpi_challenge_2012_o
397,Theis_no_resource,0.7564309393860956,1,bpi_challenge_2012_o
398,Theis_no_resource,0.7503215433656609,2,bpi_challenge_2012_o
399,Theis_no_resource,0.7508705702685101,0,bpi_challenge_2012_o
400,Theis_no_resource,0.8438577496629953,3,env_permit
401,Theis_no_resource,0.8514750740877224,4,env_permit
402,Theis_no_resource,0.8398979066350909,1,env_permit
403,Theis_no_resource,0.8414241496097392,0,env_permit
404,Theis_no_resource,0.8496626464327096,2,env_permit
405,Theis_no_resource,0.5427510329776838,4,sepsis
406,Theis_no_resource,0.5086710360160328,3,sepsis
407,Theis_no_resource,0.48251414461169995,1,sepsis
408,Theis_no_resource,0.5173915969511915,2,sepsis
409,Theis_no_resource,0.5779717401766037,0,sepsis
410,Theis_no_resource,0.5793922363751607,4,bpi_challenge_2012_a
411,Theis_no_resource,0.5468071446857299,2,bpi_challenge_2012_a
412,Theis_no_resource,0.5761743730326604,1,bpi_challenge_2012_a
413,Theis_no_resource,0.5714877601117065,3,bpi_challenge_2012_a
414,Theis_no_resource,0.5881451613734445,0,bpi_challenge_2012_a
415,Theis_no_resource,0.7092807029506759,3,helpdesk
416,Theis_no_resource,0.734042884194706,2,helpdesk
417,Theis_no_resource,0.7402023950578455,0,helpdesk
418,Theis_no_resource,0.7400611675653179,1,helpdesk
419,Theis_no_resource,0.7319939462679292,4,helpdesk
420,Camargo,0.4972751544492658,0,bpi_challenge_2013_closed_problems
421,Camargo,0.5222472667635244,1,bpi_challenge_2013_closed_problems
422,Camargo,0.5282061206290036,2,bpi_challenge_2013_closed_problems
423,Camargo,0.547260369660027,3,bpi_challenge_2013_closed_problems
424,Camargo,0.5192864027574811,4,bpi_challenge_2013_closed_problems
425,Camargo,0.7787000155955501,0,bpi_challenge_2012_w
426,Camargo,0.783363300525221,1,bpi_challenge_2012_w
427,Camargo,0.6692609291001622,2,bpi_challenge_2012_w
428,Camargo,0.7923114758009747,3,bpi_challenge_2012_w
429,Camargo,0.6513651999941704,4,bpi_challenge_2012_w
430,Camargo,0.5900473899205403,0,bpi_challenge_2012_w_complete
431,Camargo,0.6237721354739789,1,bpi_challenge_2012_w_complete
432,Camargo,0.7232888753942227,2,bpi_challenge_2012_w_complete
433,Camargo,0.6485633337969277,3,bpi_challenge_2012_w_complete
434,Camargo,0.7136604133495497,4,bpi_challenge_2012_w_complete
435,Camargo,0.7364963619560587,0,bpi_challenge_2012_complete
436,Camargo,0.7363236025330959,1,bpi_challenge_2012_complete
437,Camargo,0.7381015959045641,2,bpi_challenge_2012_complete
438,Camargo,0.7337017463959151,3,bpi_challenge_2012_complete
439,Camargo,0.7351578346141158,4,bpi_challenge_2012_complete
440,Camargo,0.8020102496206857,0,bpi_challenge_2012
441,Camargo,0.8098242057078884,1,bpi_challenge_2012
