,approach,brier,fold,log
261,Hinkka,0.3302111403218788,2,bpi_challenge_2012_o
262,Hinkka,0.3235701555075741,0,bpi_challenge_2012_o
263,Hinkka,0.293891322169114,3,bpi_challenge_2012_o
264,Hinkka,0.33021428407131886,4,bpi_challenge_2012_o
265,Hinkka,0.6122544198975641,4,bpi_challenge_2013_closed_problems
266,Hinkka,0.6347791915702298,0,bpi_challenge_2013_closed_problems
267,Hinkka,0.7065334302818774,1,bpi_challenge_2013_closed_problems
268,Hinkka,0.6261262057799943,3,bpi_challenge_2013_closed_problems
269,Hinkka,0.683721179271811,2,bpi_challenge_2013_closed_problems
270,Hinkka,0.20692617498672347,1,bpi_challenge_2012_complete
271,Hinkka,0.206480147166022,2,bpi_challenge_2012_complete
272,Hinkka,0.17695766833501927,4,bpi_challenge_2012_complete
273,Hinkka,0.23170106343137353,0,bpi_challenge_2012_complete
274,Hinkka,0.24177954932699913,3,bpi_challenge_2012_complete
275,Hinkka,0.30727517586936276,0,bpi_challenge_2012_a
276,Hinkka,0.32579087642813936,4,bpi_challenge_2012_a
277,Hinkka,0.33813633223824796,3,bpi_challenge_2012_a
278,Hinkka,0.32001122886162936,2,bpi_challenge_2012_a
279,Hinkka,0.3220471611194747,1,bpi_challenge_2012_a
280,Hinkka,0.20731889906336515,1,bpi_challenge_2012_w_complete
281,Hinkka,0.20529289478360005,4,bpi_challenge_2012_w_complete
282,Hinkka,0.18775461911343808,3,bpi_challenge_2012_w_complete
283,Hinkka,0.21224665535579507,0,bpi_challenge_2012_w_complete
284,Hinkka,0.18479370604788525,2,bpi_challenge_2012_w_complete
285,Hinkka,0.3243704172541026,1,sepsis
286,Hinkka,0.352238340531887,4,sepsis
287,Hinkka,0.34078277241370913,2,sepsis
288,Hinkka,0.33080314116694237,0,sepsis
289,Hinkka,0.33163293062408616,3,sepsis
290,Hinkka,0.34962009934405197,1,bpi_challenge_2013_incidents
291,Hinkka,0.3401494694010961,0,bpi_challenge_2013_incidents
292,Hinkka,0.3403490686707354,2,bpi_challenge_2013_incidents
293,Hinkka,0.3278910876605494,3,bpi_challenge_2013_incidents
294,Hinkka,0.3499177115078654,4,bpi_challenge_2013_incidents
