,approach,fold,log,recall
249,Hinkka,2,bpi_challenge_2012_w_complete,0.7070156306797528
250,Hinkka,4,bpi_challenge_2013_closed_problems,0.6488673139158576
251,Hinkka,0,bpi_challenge_2013_closed_problems,0.6661676646706587
252,Hinkka,1,bpi_challenge_2013_closed_problems,0.5879360465116279
253,Hinkka,3,bpi_challenge_2013_closed_problems,0.6584269662921348
254,Hinkka,2,bpi_challenge_2013_closed_problems,0.6119186046511628
255,Hinkka,0,bpi_challenge_2012_a,0.8108505596862489
256,Hinkka,4,bpi_challenge_2012_a,0.8102261553588987
257,Hinkka,3,bpi_challenge_2012_a,0.8114166666666667
258,Hinkka,2,bpi_challenge_2012_a,0.8149205055034652
259,Hinkka,1,bpi_challenge_2012_a,0.8118771106169179
260,Hinkka,3,helpdesk,0.8180764774044033
261,Hinkka,2,helpdesk,0.8315103560623691
262,Hinkka,1,helpdesk,0.8324669187145558
263,Hinkka,4,helpdesk,0.8396404919583728
264,Hinkka,0,helpdesk,0.8320860617399439
265,Hinkka,3,env_permit,0.8593656493117894
266,Hinkka,1,env_permit,0.8407234539089848
267,Hinkka,0,env_permit,0.8444976076555024
268,Hinkka,2,env_permit,0.8340011448196909
269,Hinkka,4,env_permit,0.8430899215449608
270,Hinkka,1,bpi_challenge_2012_o,0.8705527318932655
271,Hinkka,2,bpi_challenge_2012_o,0.8736415247364152
272,Hinkka,0,bpi_challenge_2012_o,0.8730744544287549
273,Hinkka,3,bpi_challenge_2012_o,0.8705405826452719
274,Hinkka,4,bpi_challenge_2012_o,0.8739399869536856
275,Hinkka,1,bpi_challenge_2012_complete,0.8066076232506121
276,Hinkka,2,bpi_challenge_2012_complete,0.8076150502173587
277,Hinkka,4,bpi_challenge_2012_complete,0.8082179327899155
278,Hinkka,0,bpi_challenge_2012_complete,0.8049643227419649
279,Hinkka,3,bpi_challenge_2012_complete,0.804759396399467
280,Hinkka,1,bpi_challenge_2012_w,0.8503981002933371
281,Hinkka,3,bpi_challenge_2012_w,0.8477200424178155
282,Hinkka,0,bpi_challenge_2012_w,0.8468006440455602
283,Hinkka,2,bpi_challenge_2012_w,0.8470549463718617
284,Hinkka,4,bpi_challenge_2012_w,0.8469948533046436
285,Hinkka,1,bpi_challenge_2013_incidents,0.7495703796281831
286,Hinkka,0,bpi_challenge_2013_incidents,0.745739707434776
287,Hinkka,2,bpi_challenge_2013_incidents,0.7501159734034328
288,Hinkka,3,bpi_challenge_2013_incidents,0.7380934854619066
289,Hinkka,4,bpi_challenge_2013_incidents,0.7510232450382269
290,Hinkka,4,bpi_challenge_2012,0.8674399179923308
